"REF_DATE","GEO","DGUID","Age of mother","Marital status of mother","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Total, marital status of mother","Number of live births","Number","223","units","0","v21401327","1.1.1.1","402533","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401328","1.1.1.2","100.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401329","1.1.2.1","99236","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401330","1.1.2.2","24.7","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, married","Number of live births","Number","223","units","0","v21401331","1.1.3.1","287297","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401332","1.1.3.2","71.4","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401333","1.1.4.1","407","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401334","1.1.4.2","0.1","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401335","1.1.5.1","5855","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401336","1.1.5.2","1.5","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401337","1.1.6.1","566","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401338","1.1.6.2","0.1","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401339","1.1.7.1","9172","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401340","1.1.7.2","2.3","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Total, marital status of mother","Number of live births","Number","223","units","0","v21401341","1.2.1.1","265","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401342","1.2.1.2","100.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401343","1.2.2.1","256","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401344","1.2.2.2","96.6","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, married","Number of live births","Number","223","units","0","v21401345","1.2.3.1","7","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401346","1.2.3.2","2.6","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401347","1.2.4.1","0","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401348","1.2.4.2","0.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401349","1.2.5.1","1","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401350","1.2.5.2","0.4","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401351","1.2.6.1","0","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401352","1.2.6.2","0.0","","","","1"
